datetime,cumulative_balance
2020-01-24 04:00:00,-1782253
2020-01-24 05:00:00,-1779219
2020-01-24 06:00:00,-1773956
2020-01-24 07:00:00,-1777973
2020-01-24 08:00:00,-1788204
2020-01-24 09:00:00,-1799328
2020-01-24 10:00:00,-1809488
2020-01-24 11:00:00,-1817617
2020-01-24 12:00:00,-1823557
2020-01-24 13:00:00,-1828681
2020-01-24 14:00:00,-1834445
2020-01-24 15:00:00,-1841227
2020-01-24 16:00:00,-1849977
2020-01-24 17:00:00,-1862344
2020-01-24 18:00:00,-1879217
2020-01-24 19:00:00,-1896240
2020-01-24 20:00:00,-1900435
2020-01-24 21:00:00,-1896284
2020-01-24 22:00:00,-1889743
2020-01-24 23:00:00,-1884859
2020-01-25 00:00:00,-1882080
2020-01-25 01:00:00,-1880611
2020-01-25 02:00:00,-1879544
2020-01-25 03:00:00,-1878703
2020-01-25 04:00:00,-1877414
2020-01-25 05:00:00,-1874564
2020-01-25 06:00:00,-1868887
2020-01-25 07:00:00,-1870464
2020-01-25 08:00:00,-1879897
2020-01-25 09:00:00,-1891222
2020-01-25 10:00:00,-1902243
2020-01-25 11:00:00,-1912176
2020-01-25 12:00:00,-1921253
2020-01-25 13:00:00,-1927841
2020-01-25 14:00:00,-1934355
2020-01-25 15:00:00,-1941067
2020-01-25 16:00:00,-1949183
2020-01-25 17:00:00,-1960456
2020-01-25 18:00:00,-1978052
2020-01-25 19:00:00,-1995783
2020-01-25 20:00:00,-2001790
2020-01-25 21:00:00,-1998689
2020-01-25 22:00:00,-1992557
2020-01-25 23:00:00,-1987356
2020-01-26 00:00:00,-1984451
2020-01-26 01:00:00,-1983171
2020-01-26 02:00:00,-1982140
2020-01-26 03:00:00,-1981264
2020-01-26 04:00:00,-1980272
2020-01-26 05:00:00,-1978123
2020-01-26 06:00:00,-1972996
2020-01-26 07:00:00,-1973229
2020-01-26 08:00:00,-1978994
2020-01-26 09:00:00,-1987124
2020-01-26 10:00:00,-1994784
2020-01-26 11:00:00,-2001317
2020-01-26 12:00:00,-2008005
2020-01-26 13:00:00,-2014236
2020-01-26 14:00:00,-2020407
2020-01-26 15:00:00,-2026885
2020-01-26 16:00:00,-2034318
2020-01-26 17:00:00,-2043786
2020-01-26 18:00:00,-2057773
2020-01-26 19:00:00,-2070934
2020-01-26 20:00:00,-2072664
2020-01-26 21:00:00,-2067950
2020-01-26 22:00:00,-2062016
2020-01-26 23:00:00,-2057576
2020-01-27 00:00:00,-2054203
2020-01-27 01:00:00,-2052774
2020-01-27 02:00:00,-2051711
2020-01-27 03:00:00,-2050688
2020-01-27 04:00:00,-2049344
2020-01-27 05:00:00,-2045964
2020-01-27 06:00:00,-2039745
2020-01-27 07:00:00,-2042159
2020-01-27 08:00:00,-2053828
2020-01-27 09:00:00,-2067309
2020-01-27 10:00:00,-2080870
2020-01-27 11:00:00,-2091973
2020-01-27 12:00:00,-2100755
2020-01-27 13:00:00,-2106944
2020-01-27 14:00:00,-2112642
2020-01-27 15:00:00,-2119891
2020-01-27 16:00:00,-2129778
2020-01-27 17:00:00,-2143004
2020-01-27 18:00:00,-2160979
2020-01-27 19:00:00,-2176551
2020-01-27 20:00:00,-2178650
2020-01-27 21:00:00,-2172890
2020-01-27 22:00:00,-2166220
2020-01-27 23:00:00,-2161964
2020-01-28 00:00:00,-2159437
2020-01-28 01:00:00,-2158257
2020-01-28 02:00:00,-2157402
2020-01-28 03:00:00,-2156442
2020-01-28 04:00:00,-2155071
2020-01-28 05:00:00,-2151773
2020-01-28 06:00:00,-2146337
2020-01-28 07:00:00,-2149652
2020-01-28 08:00:00,-2162069
2020-01-28 09:00:00,-2176329
2020-01-28 10:00:00,-2190075
2020-01-28 11:00:00,-2201131
2020-01-28 12:00:00,-2205640
2020-01-28 13:00:00,-2213966
2020-01-28 14:00:00,-2220561
2020-01-28 15:00:00,-2229469
2020-01-28 16:00:00,-2241510
2020-01-28 17:00:00,-2256237
2020-01-28 18:00:00,-2275952
2020-01-28 19:00:00,-2292633
2020-01-28 20:00:00,-2295751
2020-01-28 21:00:00,-2290417
2020-01-28 22:00:00,-2282898
2020-01-28 23:00:00,-2278247
2020-01-29 00:00:00,-2275642
2020-01-29 01:00:00,-2274338
2020-01-29 02:00:00,-2273329
2020-01-29 03:00:00,-2272276
2020-01-29 04:00:00,-2270766
2020-01-29 05:00:00,-2267297
2020-01-29 06:00:00,-2261519
2020-01-29 07:00:00,-2264595
2020-01-29 08:00:00,-2274247
2020-01-29 09:00:00,-2286587
2020-01-29 10:00:00,-2297847
2020-01-29 11:00:00,-2306219
2020-01-29 12:00:00,-2313345
2020-01-29 13:00:00,-2318801
2020-01-29 14:00:00,-2324718
2020-01-29 15:00:00,-2331488
2020-01-29 16:00:00,-2340457
2020-01-29 17:00:00,-2353096
2020-01-29 18:00:00,-2369805
2020-01-29 19:00:00,-2371622
2020-01-29 20:00:00,-2374754
2020-01-29 21:00:00,-2368535
2020-01-29 22:00:00,-2361670
2020-01-29 23:00:00,-2356950
2020-01-30 00:00:00,-2354101
2020-01-30 01:00:00,-2352739
2020-01-30 02:00:00,-2351751
2020-01-30 03:00:00,-2350578
2020-01-30 04:00:00,-2349070
2020-01-30 05:00:00,-2345528
2020-01-30 06:00:00,-2339015
2020-01-30 07:00:00,-2342081
2020-01-30 08:00:00,-2350032
2020-01-30 09:00:00,-2359924
2020-01-30 10:00:00,-2370119
2020-01-30 11:00:00,-2379316
2020-01-30 12:00:00,-2386540
2020-01-30 13:00:00,-2393103
2020-01-30 14:00:00,-2398834
2020-01-30 15:00:00,-2406538
2020-01-30 16:00:00,-2416050
2020-01-30 17:00:00,-2428546
2020-01-30 18:00:00,-2446971
2020-01-30 19:00:00,-2462476
2020-01-30 20:00:00,-2465098
2020-01-30 21:00:00,-2459341
2020-01-30 22:00:00,-2452633
2020-01-30 23:00:00,-2447964
2020-01-31 00:00:00,-2444995
2020-01-31 01:00:00,-2443512
2020-01-31 02:00:00,-2442414
2020-01-31 03:00:00,-2441345
2020-01-31 04:00:00,-2439784
2020-01-31 05:00:00,-2436484
2020-01-31 06:00:00,-2430983
2020-01-31 07:00:00,-2435323
2020-01-31 08:00:00,-2446414
2020-01-31 09:00:00,-2460649
2020-01-31 10:00:00,-2472139
2020-01-31 11:00:00,-2482954
2020-01-31 12:00:00,-2491167
2020-01-31 13:00:00,-2497783
2020-01-31 14:00:00,-2505151
2020-01-31 15:00:00,-2514055
2020-01-31 16:00:00,-2525634
2020-01-31 17:00:00,-2540945
2020-01-31 18:00:00,-2561246
2020-01-31 19:00:00,-2577249
2020-01-31 20:00:00,-2581427
2020-01-31 21:00:00,-2576831
2020-01-31 22:00:00,-2570092
2020-01-31 23:00:00,-2565120
2020-02-01 00:00:00,-2562144
2020-02-01 01:00:00,-2560502
2020-02-01 02:00:00,-2559078
2020-02-01 03:00:00,-2558079
2020-02-01 04:00:00,-2556578
2020-02-01 05:00:00,-2553576
2020-02-01 06:00:00,-2547304
2020-02-01 07:00:00,-2548488
2020-02-01 08:00:00,-2557915
2020-02-01 09:00:00,-2569313
2020-02-01 10:00:00,-2580545
2020-02-01 11:00:00,-2590695
2020-02-01 12:00:00,-2599345
2020-02-01 13:00:00,-2605820
2020-02-01 14:00:00,-2612034
2020-02-01 15:00:00,-2619249
2020-02-01 16:00:00,-2627935
2020-02-01 17:00:00,-2639862
2020-02-01 18:00:00,-2657635
2020-02-01 19:00:00,-2674362
2020-02-01 20:00:00,-2679448
2020-02-01 21:00:00,-2676011
2020-02-01 22:00:00,-2669209
2020-02-01 23:00:00,-2663272
2020-02-02 00:00:00,-2659104
2020-02-02 01:00:00,-2656773
2020-02-02 02:00:00,-2655114
2020-02-02 03:00:00,-2653832
2020-02-02 04:00:00,-2652313
2020-02-02 05:00:00,-2649066
2020-02-02 06:00:00,-2640162
2020-02-02 07:00:00,-2634682
2020-02-02 08:00:00,-2640751
2020-02-02 09:00:00,-2649152
2020-02-02 10:00:00,-2657287
2020-02-02 11:00:00,-2662953
2020-02-02 12:00:00,-2668881
2020-02-02 13:00:00,-2673275
2020-02-02 14:00:00,-2678861
2020-02-02 15:00:00,-2685242
2020-02-02 16:00:00,-2692962
2020-02-02 17:00:00,-2694773
2020-02-02 18:00:00,-2691923
2020-02-02 19:00:00,-2685405
2020-02-02 20:00:00,-2673002
2020-02-02 21:00:00,-2657563
